Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1343,Apricots,2020,2020,1000 Int$,2232,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1343,Apricots,2021,2021,1000 Int$,2228,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1343,Apricots,2022,2022,1000 Int$,1597,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1343,Apricots,2023,2023,1000 Int$,1588,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1343,Apricots,2000,2000,1000 SLC,15207,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1343,Apricots,2001,2001,1000 SLC,16416,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1343,Apricots,2002,2002,1000 SLC,16163,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1343,Apricots,2003,2003,1000 SLC,14999,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1343,Apricots,2004,2004,1000 SLC,12133,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1343,Apricots,2005,2005,1000 SLC,8827,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1343,Apricots,2006,2006,1000 SLC,13246,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1343,Apricots,2007,2007,1000 SLC,8330,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1343,Apricots,2008,2008,1000 SLC,9078,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1343,Apricots,2009,2009,1000 SLC,10560,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2000,2000,1000 SLC,27982,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2001,2001,1000 SLC,22688,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2002,2002,1000 SLC,26470,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2003,2003,1000 SLC,17016,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2004,2004,1000 SLC,14800,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2005,2005,1000 SLC,13908,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2006,2006,1000 SLC,13991,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2007,2007,1000 SLC,13235,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2008,2008,1000 SLC,12857,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2009,2009,1000 SLC,12100,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2010,2010,1000 SLC,12916,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2011,2011,1000 SLC,12177,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2012,2012,1000 SLC,12465,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2013,2013,1000 SLC,12994,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2014,2014,1000 SLC,14914,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2015,2015,1000 SLC,12386,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2016,2016,1000 SLC,11703,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2017,2017,1000 SLC,12352,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2018,2018,1000 SLC,10786,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1343,Apricots,2019,2019,1000 SLC,10516,E,Estimated value
